title,price,link,image
BRAND NEW - ASUS TUF RTX 3060 V2 12GB OC LHR  Graphics Card - Ships Fast, 940.00,https://www.ebay.ca/itm/134011238235?hash=item1f33b1375b:g:a6QAAOSw4R5h35uB,https://i.ebayimg.com/thumbs/images/g/a6QAAOSw4R5h35uB/s-l225.jpg
ASUS GeForce RTX 3060 Phoenix V2 Graphics Card, 860.00,https://www.ebay.ca/itm/275156298510?hash=item401097eb0e:g:9UMAAOSwdh1h~9uy,https://i.ebayimg.com/thumbs/images/g/9UMAAOSwdh1h~9uy/s-l225.jpg
EVGA GeForce RTX 3060 XC BLACK GAMING 12GB Graphics Card GPU ✅NEW ✅2 DAY SHIP! ✈, 950.18,https://www.ebay.ca/itm/165331314892?epid=22044889426&hash=item267e83a8cc:g:ZQgAAOSwqmZiBwzn,https://i.ebayimg.com/thumbs/images/g/ZQgAAOSwqmZiBwzn/s-l225.jpg
New ListingEVGA GeForce RTX 3060 Ti GAMING 8GB GDDR6 Video Card -NIB Sealed, 908.32,https://www.ebay.ca/itm/265546597839?epid=27048114759&hash=item3dd3cf85cf:g:BgMAAOSwUG9iBsVd,https://i.ebayimg.com/thumbs/images/g/BgMAAOSwUG9iBsVd/s-l225.jpg
NVIDIA GeForce RTX 3060 Ti Founders Edition 8GB GDDR6 Graphics Card (Non LHR), 811.07,https://www.ebay.ca/itm/255374304659?epid=23046151246&hash=item3b757ea593:g:nEkAAOSwYbJh4W~y,https://i.ebayimg.com/thumbs/images/g/nEkAAOSwYbJh4W~y/s-l225.jpg
MSI GeForce RTX 3060 VENTUS 2X 12G OC DDR6 Gaming Graphics Card -..., 558.18,https://www.ebay.ca/itm/294805099483?epid=10047115507&hash=item44a3c0d3db:g:T8QAAOSwmvhiBA8I,https://i.ebayimg.com/thumbs/images/g/T8QAAOSwmvhiBA8I/s-l225.jpg
New ListingASUS NVIDIA GeForce RTX 3060 12GB GDDR6 Graphics Card, 700.00,https://www.ebay.ca/itm/313873396937?epid=25047265732&hash=item49144ff4c9:g:tIYAAOSwEO1iB-As,https://i.ebayimg.com/thumbs/images/g/tIYAAOSwEO1iB-As/s-l225.jpg
Gigabyte GeForce RTX 3060 Vision OC 12GB GDDR6 Graphics Card Rev 2.0 Video Card, 886.75,https://www.ebay.ca/itm/353906392836?epid=14049007920&_trkparms=ispr%3D1&hash=item526676ff04:g:HNgAAOSwueNhiUGU&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSd0ReTLyM7cxPnI6zs468EGu3OOPcIYwGCYdCCquu59MEtEz2Jgt9w29z7gtEHbzc1iiIAlI0TtbOkU%252FBlroHUcSn0JPAIyFwI%252FZUwuH6%252FUy1hDyXy18AD5bloGj7zfZ5JA8vnNC1eW%252FUZsPHV5Wc0uX6DlJ8%252Bfw1Mv1XLe7EiIFbSoPHZr55U9spQxBkCUxfM8zY3TSvQFZe6OhlrmGpjODAwW3SFbw8vmZ2Zr8oXS6oPV%252FQKha3lu5iYHuVlsQdPb%252Bd%252FAwSvbD7gLgEGq5MIe8Btb%252Bo9PyN5%252BB9h5l%252FgdirPfK9UXjioHVJK8PjGJgqKCS%252F5r0EBACTcee632NWoy1AJ8WobzO6cPWWHRVFjS%252Bq5UYV40cKe7TVfJk1rojrL%252BIiX4NoSMcB0645tHzbuXwstHjZe0qQCzLqV6qNf12vFw6dFCuyqqs9MRfKdAv6ACO60hLDkx2YO0tfL5fH39xExN0RI0ZA1p%252FGirhiOWM6i2EgfJ1XladSYM3nT6jBY7XyrigIl3LuDIXBofmptgQLPKc0t%252FCURJUUizImBrbLVV4lHdVyLIKdW22hJYcoNRM1Yd1NcpgnN0%252BFgSGOmNW8M5VsVP2grP25QVDnv8kjadg%252BaQQbOZSaynC0Ub%252BQ4E0wArxupV85nhHVRSlP9a2qdVCsTXn8gUCCxQeHEuhSfNy1TQaR2qSA%252F8cuNQRCYS2KReV4g1GQ5mU%252B6tu6ENYqMHr1fgBi9ke%252FhfeLBzrz8nKcy6r109Pe7NwhXNMQ71M7bdTpFhJ0d8yyFBMSjkYCqOt73ZOUvplOzfY2IN3kf9Meugkij8F3QvUcq0Ys%7Cclp%3A2334524%7Ctkp%3ABFBM2IahkN5f,https://i.ebayimg.com/thumbs/images/g/HNgAAOSwueNhiUGU/s-l225.jpg
ASUS Dual GeForce RTX 3060 OC V2 12GB GDDR6 GPU Video Graphics Card, 888.01,https://www.ebay.ca/itm/194820157500?epid=18050527879&_trkparms=ispr%3D1&hash=item2d5c2fb03c:g:JusAAOSwDm9hiUCR&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSd3M8ngECaRA0SmyU4KT%252Fnln5kyw4pRYbBAXO12Pun9rBndw1UIIY9R6dLvi08GNrgSze8NK7AMZOq6KKXhdwOx2zVoGC57rG%252FBAzf1V1W3ab12WCU73s9PJXYce35Kwc4uXVdy1Gnc7SEdb6f4yB6FEcSbhiNjcs%252Fa%252FEdYMzb3S08BlK6lCF%252FUk9v78V03hmmsXxZsfcS%252B%252FEt8mqYNu6Vr5s44o8KmtzDaUzrQXpVWieQr8UOLeCBFCjMgWLu3SwjmvJnGGlYjC5NCvx0Cjo0ORReluofIS89xxSojAKpjhshLeqYvztA3bLx3FioKaorvcW5R1JtlEPQ5bYA%252FrL7Lj1EKS1VhDTSBBpFMefwSP6NJhraCrgs%252Fydv8Cwbwxa8S4%252FSO6P0tNBMLzKHKrKjXtDD7f%252FM0j70pzQAS%252FBtzAsGq%252FGshFSq3Rm1VLKZRCybpDj3sJGYquOXUnif6qLpHQhFKvNfPX4GWFwV0rAcJSo2m%252FxreK8ub1lWp7gPkC9FP0a9Xp1kusKWoJXk7Tm%252FBsAeW38IgHilDDTYodQdYc5h4bxVvy62m5gOKmwTRHf370qSIdjTQKgyDktA6OpBVrGMweHDoIcerSe0GuQT%252BgaCP5Kc7CxK2ExsIEK7ML5JY9%252BxGMbPwPCBw%252B%252FQ%252BNPd7uggENzraAKZ95nk2YoYsPSOiLbe%252BkkLqyH8I56pw2bCI8OYguHEOYff0ue17PhB8LrPOWKT3bLYQbt1LZu9dbx5y1BV54emDUmrAdP%252F0qodW9qvb0J3KQUD0dlRAcZskwNxqL916zRRvdDBodZi6wrdPGbpNW0lei33Lqc8ANG%7Cclp%3A2334524%7Ctkp%3ABFBM2IahkN5f,https://i.ebayimg.com/thumbs/images/g/JusAAOSwDm9hiUCR/s-l225.jpg
LHR Nvidia RTX 3060 12GB GDDR6 Video Card Lenovo OEM from Legion Gaming PC, 899.00,https://www.ebay.ca/itm/403451163525?hash=item5def903385:g:Kp4AAOSwmSlh5K4P,https://i.ebayimg.com/thumbs/images/g/Kp4AAOSwmSlh5K4P/s-l225.jpg
New Listing💥 NEW GIGABYTE RTX 3060 AORUS ELITE 12GB GDDR6 Video Graphics Card GPU 💥, 871.51,https://www.ebay.ca/itm/325046103628?epid=16047942932&hash=item4bae41ee4c:g:bTQAAOSwk1xiBzjy,https://i.ebayimg.com/thumbs/images/g/bTQAAOSwk1xiBzjy/s-l225.jpg
Asus Dual RTX3060 12GB, 749.00,https://www.ebay.ca/itm/373923808941?hash=item570f9886ad:g:otEAAOSwyLJiBC1c,https://i.ebayimg.com/thumbs/images/g/otEAAOSwyLJiBC1c/s-l225.jpg
EVGA GeForce RTX 3060 XC GAMING 12GB GDDR6 Graphics Card, 837.28,https://www.ebay.ca/itm/175151594696?epid=2315640392&hash=item28c7d93cc8:g:UNAAAOSw1tdiBJJy,https://i.ebayimg.com/thumbs/images/g/UNAAAOSw1tdiBJJy/s-l225.jpg
ASUS TUF NVIDIA GeForce RTX 3060 TI 8GB GDDR6 Graphics Card, 837.28,https://www.ebay.ca/itm/154836670792?epid=16049131519&hash=item240cfc1948:g:9McAAOSwD0dh9Acw,https://i.ebayimg.com/thumbs/images/g/9McAAOSwD0dh9Acw/s-l225.jpg
